Project_Name__c,Project_Code__c,Client__c,RecordType,Status__c,Priority__c,Start_Date__c,End_Date__c,Budget__c,Actual_Cost__c,Completion_Percentage__c,Is_Billable__c
Axiom Cloud Migration Phase 1,PRJ-0001,CLT-0001,Client_Project,Completed,High,2023-02-01,2023-11-30,280000,265000,100,true
Axiom Cloud Migration Phase 2,PRJ-0002,CLT-0001,Client_Project,Active,High,2023-12-01,2025-06-30,320000,210000,68,true
FinCore Core Banking Integration,PRJ-0003,CLT-0002,Client_Project,Active,Critical,2023-04-01,2025-03-31,450000,430000,92,true
FinCore Regulatory Compliance Dashboard,PRJ-0004,CLT-0002,Client_Project,Active,High,2024-09-01,2025-08-31,95000,38000,42,true
MediPath Patient Portal Development,PRJ-0005,CLT-0003,Client_Project,Active,High,2023-07-01,2025-06-30,175000,195000,85,true
MediPath Data Analytics Platform,PRJ-0006,CLT-0003,Client_Project,On Hold,Medium,2024-01-01,2024-12-31,120000,45000,35,true
RetailEdge E-commerce Replatform,PRJ-0007,CLT-0004,Client_Project,Completed,High,2023-10-01,2024-03-31,85000,91000,100,true
Struktura ERP Integration,PRJ-0008,CLT-0005,Client_Project,Active,Critical,2024-02-01,2026-01-31,380000,155000,44,true
CloudBridge DevOps Transformation,PRJ-0009,CLT-0006,Client_Project,Active,Medium,2024-05-01,2025-04-30,72000,68000,90,true
NordPharma Lab Management System,PRJ-0010,CLT-0007,Client_Project,Planning,Medium,2024-08-01,2025-07-31,65000,5000,8,true
VividCommerce Mobile App,PRJ-0011,CLT-0008,Client_Project,Active,Low,2024-11-01,2025-04-30,48000,22000,45,true
DataNest AI Analytics Solution,PRJ-0012,CLT-0009,Client_Project,Active,High,2024-03-01,2026-02-28,210000,98000,48,true
Horizon Logistics Tracking System,PRJ-0013,CLT-0010,Client_Project,Cancelled,Low,2024-12-01,2025-06-30,55000,12000,20,true
TechNova Internal CRM Upgrade,PRJ-0014,,Internal_Project,Active,Medium,2025-01-01,2025-06-30,0,15000,55,false
TechNova Staff Training Programme,PRJ-0015,,Internal_Project,Completed,Low,2024-10-01,2024-12-31,0,8500,100,false
